
Curriculum	254 76 341 99	612 792	none
Vitae	345 76 384 99	612 792	none
1.	90 111 99 129	612 792	none
Personal	102 111 151 129	612 792	none
information	154 111 221 129	612 792	none
-	127 139 131 157	612 792	none
Full	134 139 155 157	612 792	none
name:	158 139 190 157	612 792	none
*********	193 139 252 157	612 792	none
Tuong	255 139 289 157	612 792	none
-	127 168 131 185	612 792	none
Date	134 168 159 185	612 792	none
of	162 168 173 185	612 792	none
birth:	176 168 204 185	612 792	none
May	207 168 231 185	612 792	none
08th,	235 166 257 178	612 792	none
1986	261 168 287 185	612 792	none
-	127 196 131 214	612 792	none
Place	134 196 162 214	612 792	none
of	165 196 176 214	612 792	none
birth:	180 196 208 214	612 792	none
Hai	211 196 230 214	612 792	none
*********rovince	233 196 330 214	612 792	none
-	127 225 131 242	612 792	none
Marital	134 225 172 242	612 792	none
Status:	176 225 211 242	612 792	none
Single	214 225 247 242	612 792	none
-	128 253 133 270	612 792	none
Address:	136 253 182 270	612 792	none
Tien	186 253 209 270	612 792	none
Tho	213 253 234 270	612 792	none
Village	237 253 275 270	612 792	none
,	278 253 282 270	612 792	none
Tien	285 253 309 270	612 792	none
Dong	312 253 341 270	612 792	none
commune,	344 253 399 270	612 792	none
Tu	402 253 416 270	612 792	none
Ky	420 253 436 270	612 792	none
district,	439 253 478 270	612 792	none
Hai	165 271 183 288	612 792	none
*********rovince	187 271 284 288	612 792	none
-	127 295 131 312	612 792	none
Phone	134 295 167 312	612 792	none
numbers:	170 295 218 312	612 792	none
*********	222 295 280 312	612 792	none
-	127 323 131 341	612 792	none
Email	134 323 165 341	612 792	none
Address:	168 323 215 341	612 792	none
*********	218 323 276 341	612 792	none
2.	90 352 99 370	612 792	none
Education	102 352 159 370	612 792	none
OrdinalTime	140 387 253 405	612 792	none
School’s	316 389 362 404	612 792	none
Name	365 389 398 404	612 792	none
Faculty	460 387 502 405	612 792	none
12001-2004Cau	159 422 305 439	612 792	none
Xe	309 422 324 439	612 792	none
high	330 422 353 439	612 792	none
school	357 422 391 439	612 792	none
pupil	440 422 466 439	612 792	none
202/2005–Military	159 457 327 473	612 792	none
Service	330 457 369 474	612 792	none
03/2007	203 479 246 496	612 792	none
39/2007-*********UniversityofMechanical	159 514 500 531	612 792	none
6/20012Technology	203 536 347 554	612 792	none
Engineering	440 536 503 554	612 792	none
3.	90 629 99 647	612 792	none
Skills	102 629 133 647	612 792	none
Ordinal	122 664 166 682	612 792	none
Skills	260 664 290 682	612 792	none
Level	458 664 488 682	612 792	none
1	316 740 322 756	612 792	none

1Computer	141 76 240 93	612 792	none
skills	244 76 271 93	612 792	none
Auto	294 76 320 93	612 792	none
CADGood	323 76 414 93	612 792	none
MicrosoftAverage	294 112 429 129	612 792	none
Word,	294 135 327 152	612 792	none
Exel	330 135 354 152	612 792	none
2*********uageVietnameseMother	141 169 423 187	612 792	none
tongue	426 169 462 187	612 792	none
English	294 204 334 222	612 792	none
Communication	385 204 468 222	612 792	none
4.	90 240 99 258	612 792	none
Work	102 240 135 258	612 792	none
experience	138 240 197 258	612 792	none
-	126 268 130 285	612 792	none
From	136 268 165 285	612 792	none
02/2012	171 268 214 285	612 792	none
–	220 270 227 284	612 792	none
4/2012:	233 268 273 285	612 792	none
working	280 268 323 285	612 792	none
as	329 268 340 285	612 792	none
a	347 268 353 285	612 792	none
practice	359 268 400 285	612 792	none
student	407 268 444 285	612 792	none
in	451 268 461 285	612 792	none
LILAMA	468 268 518 285	612 792	none
69-3	525 268 549 285	612 792	none
company	126 290 173 308	612 792	none
5.	90 319 99 337	612 792	none
Character	102 319 159 337	612 792	none
-	124 347 128 365	612 792	none
Work	131 347 161 364	612 792	none
hard,	164 347 190 364	612 792	none
enthusiastic,	194 347 258 364	612 792	none
self-	262 347 285 364	612 792	none
confident	288 347 337 364	612 792	none
-	124 375 128 393	612 792	none
Have	132 375 159 393	612 792	none
a	162 375 168 393	612 792	none
sense	171 375 199 393	612 792	none
of	203 375 213 393	612 792	none
responsibility,	217 375 291 393	612 792	none
have	294 375 319 393	612 792	none
good	322 375 348 393	612 792	none
communication	351 375 432 393	612 792	none
-	126 404 130 421	612 792	none
Adapt	133 404 165 421	612 792	none
to	168 404 178 421	612 792	none
every	181 404 210 421	612 792	none
circumstance,	213 404 285 421	612 792	none
have	289 404 313 421	612 792	none
ability	316 404 350 421	612 792	none
to	353 404 363 421	612 792	none
concentrate	366 404 426 421	612 792	none
and	429 404 448 421	612 792	none
work	451 404 478 421	612 792	none
under	481 404 511 421	612 792	none
high	514 404 537 421	612 792	none
pressure.	126 426 172 444	612 792	none
-	124 455 128 472	612 792	none
Have	131 455 159 472	612 792	none
ability	162 455 195 472	612 792	none
to	198 455 208 472	612 792	none
analysis,	212 455 257 472	612 792	none
evaluate,	260 455 307 472	612 792	none
solve	310 455 337 472	612 792	none
problems.	341 455 392 472	612 792	none
6.	90 476 99 494	612 792	none
Interests	102 476 151 494	612 792	none
-	127 504 131 521	612 792	none
Watch	134 504 168 521	612 792	none
